target,position,sentence,hypernym,definition,label
slot,5,bob dylan occupied the top slot for several weeks,slit,a small slit as for inserting a coin or depositing mail ,F
development,9,the organism has reached a crucial stage in its development ,district;territory;territorial_dominion;dominion,a district that has been developed to serve some purpose,F
opening,6,a salamander darted out of an opening in the rocks ,start,the first performance as of a theatrical production ,F
game,5,i saw through his little game from the start,activity,a contest with rules to determine a winner,F
source,6,he spent hours looking for the source of that quotation,communicator,a person who supplies information,F
heart,1,the heart and soul of any democracy is its electorate ,courage;courageousness;bravery;braveness,the courage to carry on,F
life,6,i have known him all his life,history;account;chronicle;story,an account of the series of events making up a person is life,F
touch,3,he got in touch with his colleagues,manner;mode;style;way;fashion,a distinguishing style,F
warhorse,13,as he spoke the knight errant who had remounted his warhorse galloped forward to the royal stand with a silken kerchief bound round his wounded arm arthur conan doyle the white company chapter ,expert,an experienced person who has been through many battles;someone who has given long service,F
claim,1,his claim on her attentions,assertion;averment;asseveration,an assertion that something is true or factual,F
degree,4,murder in the second degree,angular_unit,a measure for arcs and angles,F
break,5,he finally got his big break,delay;holdup,an act of delaying or interrupting the continuity,F
change,8,i paid with a twenty and pocketed the change,happening;occurrence;occurrent;natural_event,an event that occurs when something passes from one state or phase to another,F
surface,7,the facts had been brought to the surface,layer,the outermost level of the land or sea,F
wash,4,my jacket needs a wash ,business_activity;commercial_activity,any enterprise in which losses and gains cancel out,F
washout,12,it was several days after the storm before they could repair the washout and open the road,soil_erosion,the erosive process of washing away soil or gravel by water as from a roadway ,F
head,4,he was at the head of the column,perversion;sexual_perversion,oral stimulation of the genitals,F
matter,6,physicists study both the nature of matter and the forces which govern it,writing;written_material;piece_of_writing,written works especially in books or magazines ,F
lap,1,the lap of the shingles should be at least ten inches,touch;touching,touching with the tongue,F
stopover,3,they made a stopover to visit their friends,stop,a stopping place on a journey,F
shot,3,he wanted a shot at the champion,blow,a blow hard enough to cause injury,F
slot,5,he followed the deer is slot over the soft turf to the edge of the trees,receptacle, computer a socket in a microcomputer that will accept a plug in circuit board,F
place,4,this is a nice place for a picnic,cognition;knowledge;noesis,an abstract mental location,F
shock,4,he was numb with shock,damper;muffler,a mechanical damper;absorbs energy of sudden impulses,F
breath,6,he was fighting to his last breath,suggestion;proposition;proffer,an indirect suggestion,F
bar,5,he was admitted to the bar in new jersey,pressure_unit, meteorology a unit of pressure equal to a million dynes per square centimeter,F
bit,1,a bit of lint,stable_gear;saddlery;tack,piece of metal held in horse is mouth by reins and used to control the horse while riding,F
spot,10,would you like to come round on sunday for a spot of lunch ,marking,a small contrasting part of something,F
plane,5,he lived on a worldly plane,shape;form, mathematics an unbounded two dimensional shape,F
ceremony,1,a ceremony commemorating pearl harbor,activity,any activity that is performed in an especially solemn elaborate or formal way,F
night,5,how do you sleep at night when you attack your kids like that ,dark;darkness,darkness,F
habit,3,she had a habit twirling the ends of her hair,growth;growing;maturation;development;ontogeny;ontogenesis,the general form or mode of growth especially of a plant or crystal ,F
